state,county,date,cases
connecticut,fairfield,2020-03-20,122
connecticut,hartford,2020-03-20,29
connecticut,litchfield,2020-03-20,8
connecticut,middlesex,2020-03-20,5
connecticut,new haven,2020-03-20,23
connecticut,new london,2020-03-20,1
connecticut,tolland,2020-03-20,4
connecticut,windham,2020-03-20,2
connecticut,NA,2020-03-20,194
